time,x1,x2,x3,x4,x5,x1_mean,x1_flut,x2_mean,x2_flut,x3_mean,x3_flut,x4_mean,x4_flut,x5_mean,x5_flut
3.1464,1.7403,1.0586,0.8227,0.9182,1.0653,11.644254089355522,0.02658188476570089,5.0942323852538784,0.10801177978514342,6.150029809570259,-0.16120823364259096,6.364531567382773,-0.12148186035157182,6.246980328369128,0.014193334960942439
3.1466,1.7313,1.0554,0.8123,0.9267,1.0719,11.644254089355522,0.017581884765700995,5.0942323852538784,0.10481177978514333,6.150029809570259,-0.17160823364259092,6.364531567382773,-0.11298186035157187,6.246980328369128,0.0207933349609426
3.1468,1.738,1.0529,0.8035,0.933,1.0805,11.644254089355522,0.024281884765700923,5.0942323852538784,0.10231177978514339,6.150029809570259,-0.18040823364259095,6.364531567382773,-0.10668186035157179,6.246980328369128,0.02939333496094254
3.147,1.7336,1.0498,0.7935,0.9393,1.0881,11.644254089355522,0.019881884765700963,5.0942323852538784,0.0992117797851435,6.150029809570259,-0.19040823364259096,6.364531567382773,-0.10038186035157182,6.246980328369128,0.03699333496094259
3.1472,1.738,1.0442,0.7852,0.9454,1.0867,11.644254089355522,0.024281884765700923,5.0942323852538784,0.09361177978514346,6.150029809570259,-0.19870823364259094,6.364531567382773,-0.09428186035157182,6.246980328369128,0.035593334960942524
3.1474,1.7448,1.0399,0.7766,0.949,1.1008,11.644254089355522,0.03108188476570084,5.0942323852538784,0.08931177978514349,6.150029809570259,-0.207308233642591,6.364531567382773,-0.09068186035157189,6.246980328369128,0.049693334960942526
3.1476,1.7313,1.0345,0.7679,0.9532,1.093,11.644254089355522,0.017581884765700995,5.0942323852538784,0.08391177978514341,6.150029809570259,-0.21600823364259092,6.364531567382773,-0.0864818603515718,6.246980328369128,0.0418933349609425
3.1478,1.738,1.0292,0.7612,0.9574,1.0909,11.644254089355522,0.024281884765700923,5.0942323852538784,0.07861177978514333,6.150029809570259,-0.22270823364259096,6.364531567382773,-0.08228186035157181,6.246980328369128,0.039793334960942506
3.148,1.738,1.0232,0.7543,0.9586,1.0867,11.644254089355522,0.024281884765700923,5.0942323852538784,0.07261177978514355,6.150029809570259,-0.22960823364259098,6.364531567382773,-0.08108186035157183,6.246980328369128,0.035593334960942524
3.1482,1.7269,1.0168,0.7497,0.9604,1.0805,11.644254089355522,0.013181884765701035,5.0942323852538784,0.06621177978514337,6.150029809570259,-0.2342082336425909,6.364531567382773,-0.07928186035157181,6.246980328369128,0.02939333496094254
3.1484,1.7448,1.0104,0.7473,0.9609,1.0725,11.644254089355522,0.03108188476570084,5.0942323852538784,0.059811779785143404,6.150029809570259,-0.23660823364259098,6.364531567382773,-0.07878186035157186,6.246980328369128,0.021393334960942534
3.1486,1.7225,1.0035,0.745,0.9598,1.0627,11.644254089355522,0.008781884765700854,5.0942323852538784,0.0529117797851435,6.150029809570259,-0.23890823364259095,6.364531567382773,-0.07988186035157185,6.246980328369128,0.011593334960942503
3.1488,1.747,0.9966,0.7462,0.9609,1.0526,11.644254089355522,0.03328188476570104,5.0942323852538784,0.04601177978514348,6.150029809570259,-0.23770823364259097,6.364531567382773,-0.07878186035157186,6.246980328369128,0.001493334960942505
3.149,1.7336,0.9898,0.7485,0.9586,1.0421,11.644254089355522,0.019881884765700963,5.0942323852538784,0.03921177978514345,6.150029809570259,-0.2354082336425909,6.364531567382773,-0.08108186035157183,6.246980328369128,-0.009006665039057449
3.1492,1.738,0.9823,0.752,0.958,1.0307,11.644254089355522,0.024281884765700923,5.0942323852538784,0.03171177978514339,6.150029809570259,-0.23190823364259094,6.364531567382773,-0.08168186035157188,6.246980328369128,-0.020406665039057525
3.1494,1.738,0.9754,0.7589,0.9556,1.0195,11.644254089355522,0.024281884765700923,5.0942323852538784,0.024811779785143484,6.150029809570259,-0.22500823364259093,6.364531567382773,-0.08408186035157184,6.246980328369128,-0.0316066650390574
3.1496,1.7336,0.9679,0.7657,0.9508,1.0084,11.644254089355522,0.019881884765700963,5.0942323852538784,0.017311779785143422,6.150029809570259,-0.2182082336425909,6.364531567382773,-0.08888186035157186,6.246980328369128,-0.04270666503905751
3.1498,1.7448,0.9614,0.7712,0.946,0.9987,11.644254089355522,0.03108188476570084,5.0942323852538784,0.010811779785143472,6.150029809570259,-0.21270823364259095,6.364531567382773,-0.09368186035157189,6.246980328369128,-0.05240666503905744
3.15,1.7336,0.9549,0.782,0.9393,0.9878,11.644254089355522,0.019881884765700963,5.0942323852538784,0.00431177978514341,6.150029809570259,-0.20190823364259092,6.364531567382773,-0.10038186035157182,6.246980328369128,-0.06330666503905746
3.1502,1.7403,0.9477,0.7935,0.9318,0.9792,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.002888220214856574,6.150029809570259,-0.19040823364259096,6.364531567382773,-0.10788186035157188,6.246980328369128,-0.07190666503905752
3.1504,1.738,0.9416,0.8045,0.9215,0.9699,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.008988220214856568,6.150029809570259,-0.17940823364259095,6.364531567382773,-0.11818186035157185,6.246980328369128,-0.08120666503905749
3.1506,1.7336,0.9379,0.8133,0.9116,0.9617,11.644254089355522,0.019881884765700963,5.0942323852538784,-0.012688220214856605,6.150029809570259,-0.17060823364259092,6.364531567382773,-0.12808186035157187,6.246980328369128,-0.08940666503905748
3.1508,1.7425,0.9303,0.8236,0.9027,0.9546,11.644254089355522,0.02878188476570087,5.0942323852538784,-0.020288220214856545,6.150029809570259,-0.16030823364259095,6.364531567382773,-0.1369818603515719,6.246980328369128,-0.09650666503905747
3.151,1.738,0.9278,0.8389,0.8899,0.9486,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.022788220214856603,6.150029809570259,-0.14500823364259097,6.364531567382773,-0.14978186035157182,6.246980328369128,-0.10250666503905748
3.1512,1.7561,0.9239,0.8475,0.881,0.9437,11.644254089355522,0.04238188476570093,5.0942323852538784,-0.026688220214856506,6.150029809570259,-0.13640823364259091,6.364531567382773,-0.15868186035157184,6.246980328369128,-0.10740666503905749
3.1514,1.738,0.9207,0.8517,0.8719,0.9388,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.029888220214856598,6.150029809570259,-0.13220823364259093,6.364531567382773,-0.16778186035157183,6.246980328369128,-0.11230666503905751
3.1516,1.7403,0.9181,0.8616,0.8632,0.9351,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.032488220214856534,6.150029809570259,-0.12230823364259091,6.364531567382773,-0.17648186035157187,6.246980328369128,-0.11600666503905743
3.1518,1.7313,0.9194,0.8703,0.8575,0.9332,11.644254089355522,0.017581884765700995,5.0942323852538784,-0.031188220214856566,6.150029809570259,-0.11360823364259098,6.364531567382773,-0.1821818603515718,6.246980328369128,-0.11790666503905745
3.152,1.7425,0.92,0.8757,0.85,0.93,11.644254089355522,0.02878188476570087,5.0942323852538784,-0.03058822021485652,6.150029809570259,-0.10820823364259091,6.364531567382773,-0.18968186035157186,6.246980328369128,-0.12110666503905743
3.1522,1.738,0.9194,0.8818,0.845,0.9275,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.031188220214856566,6.150029809570259,-0.10210823364259092,6.364531567382773,-0.19468186035157187,6.246980328369128,-0.12360666503905748
3.1524,1.7403,0.922,0.8862,0.8432,0.9275,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.02858822021485652,6.150029809570259,-0.09770823364259096,6.364531567382773,-0.1964818603515719,6.246980328369128,-0.12360666503905748
3.1526,1.7403,0.9246,0.8906,0.8415,0.9249,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.025988220214856583,6.150029809570259,-0.093308233642591,6.364531567382773,-0.19818186035157181,6.246980328369128,-0.12620666503905742
3.1528,1.738,0.9291,0.8928,0.8406,0.9243,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.021488220214856524,6.150029809570259,-0.09110823364259091,6.364531567382773,-0.19908186035157183,6.246980328369128,-0.12680666503905746
